ID ANSSI,Titre ANSSI,Type,Date de publication,Lien,Identifiant CVE,Score CVSS,Base Severity,Type CWE,Score EPSS,Description,Éditeur (Vendor),Produit,Versions affectées
CERTFR-2023-ALE-011,[MàJ] Multiples vulnérabilités dans Cisco IOS XE (17 octobre 2023),alerte,2023-10-17,https://www.cert.ssi.gouv.fr/alerte/CERTFR-2023-ALE-011/,CVE-2023-20273,7.2,HIGH,CWE-78,0.926150000,"A vulnerability in the web UI feature of Cisco IOS XE Software could allow an authenticated, remote attacker to inject commands with the privileges of root. This vulnerability is due to insufficient input validation. An attacker could exploit this vulnerability by sending crafted input to the web UI. A successful exploit could allow the attacker to inject commands to the underlying operating system with root privileges.",Cisco,Cisco IOS XE Software,"16.1.1, 16.1.2, 16.1.3, 16.2.1, 16.2.2, 16.3.1, 16.3.2, 16.3.3, 16.3.1a, 16.3.4, 16.3.5, 16.3.5b, 16.3.6, 16.3.7, 16.3.8, 16.3.9, 16.3.10, 16.3.11, 16.4.1, 16.4.2, 16.4.3, 16.5.1, 16.5.1a, 16.5.1b, 16.5.2, 16.5.3, 16.6.1, 16.6.2, 16.6.3, 16.6.4, 16.6.5, 16.6.4a, 16.6.5a, 16.6.6, 16.6.7, 16.6.8, 16.6.9, 16.6.10, 16.7.1, 16.7.1a, 16.7.1b, 16.7.2, 16.7.3, 16.7.4, 16.8.1, 16.8.1a, 16.8.1b, 16.8.1s, 16.8.1c, 16.8.1d, 16.8.2, 16.8.1e, 16.8.3, 16.9.1, 16.9.2, 16.9.1a, 16.9.1b, 16.9.1s, 16.9.3, 16.9.4, 16.9.3a, 16.9.5, 16.9.5f, 16.9.6, 16.9.7, 16.9.8, 16.10.1, 16.10.1a, 16.10.1b, 16.10.1s, 16.10.1c, 16.10.1e, 16.10.1d, 16.10.2, 16.10.1f, 16.10.1g, 16.10.3, 16.11.1, 16.11.1a, 16.11.1b, 16.11.2, 16.11.1s, 16.12.1, 16.12.1s, 16.12.1a, 16.12.1c, 16.12.1w, 16.12.2, 16.12.1y, 16.12.2a, 16.12.3, 16.12.8, 16.12.2s, 16.12.1x, 16.12.1t, 16.12.4, 16.12.3s, 16.12.3a, 16.12.4a, 16.12.5, 16.12.6, 16.12.1z1, 16.12.5a, 16.12.5b, 16.12.1z2, 16.12.6a, 16.12.7, 16.12.9, 16.12.10, 17.1.1, 17.1.1a, 17.1.1s, 17.1.1t, 17.1.3, 17.2.1, 17.2.1r, 17.2.1a, 17.2.1v, 17.2.2, 17.2.3, 17.3.1, 17.3.2, 17.3.3, 17.3.1a, 17.3.1w, 17.3.2a, 17.3.1x, 17.3.1z, 17.3.4, 17.3.5, 17.3.4a, 17.3.6, 17.3.4b, 17.3.4c, 17.3.5a, 17.3.5b, 17.3.7, 17.3.8, 17.4.1, 17.4.2, 17.4.1a, 17.4.1b, 17.4.2a, 17.5.1, 17.5.1a, 17.5.1b, 17.5.1c, 17.6.1, 17.6.2, 17.6.1w, 17.6.1a, 17.6.1x, 17.6.3, 17.6.1y, 17.6.1z, 17.6.3a, 17.6.4, 17.6.1z1, 17.6.5, 17.6.6, 17.7.1, 17.7.1a, 17.7.1b, 17.7.2, 17.10.1, 17.10.1a, 17.10.1b, 17.8.1, 17.8.1a, 17.9.1, 17.9.1w, 17.9.2, 17.9.1a, 17.9.1x, 17.9.1y, 17.9.3, 17.9.2a, 17.9.1x1, 17.9.3a, 17.9.4, 17.9.1y1, 17.11.1, 17.11.1a, 17.12.1, 17.12.1a, 17.11.99SW"
CERTFR-2023-ALE-012,[MàJ] Vulnérabilité dans Citrix NetScaler ADC et NetScaler Gateway (23 octobre 2023),alerte,2023-10-23,https://www.cert.ssi.gouv.fr/alerte/CERTFR-2023-ALE-012/,CVE-2023-4966,9.4,CRITICAL,CWE-119,0.943480000,"Sensitive information disclosure in NetScaler ADC and NetScaler Gateway when configured as a Gateway (VPN virtual server, ICA Proxy, CVPN, RDP Proxy) or AAA  virtual server.",Citrix,NetScaler ADC,"14.1, 13.1, 13.0, 13.1-FIPS, 12.1-FIPS, 12.1-NDcPP"
CERTFR-2023-ALE-012,[MàJ] Vulnérabilité dans Citrix NetScaler ADC et NetScaler Gateway (23 octobre 2023),alerte,2023-10-23,https://www.cert.ssi.gouv.fr/alerte/CERTFR-2023-ALE-012/,CVE-2023-4966,9.4,CRITICAL,CWE-119,0.943480000,"Sensitive information disclosure in NetScaler ADC and NetScaler Gateway when configured as a Gateway (VPN virtual server, ICA Proxy, CVPN, RDP Proxy) or AAA  virtual server.",Citrix,NetScaler Gateway,"14.1, 13.1, 13.0"
CERTFR-2023-ALE-013,Vulnérabilité dans Apache Struts 2 (13 décembre 2023),alerte,2023-12-13,https://www.cert.ssi.gouv.fr/alerte/CERTFR-2023-ALE-013/,CVE-2023-50164,,Non renseigné,CWE-552,0.936570000,An attacker can manipulate file upload params to enable paths traversal and under some circumstances this can lead to uploading a malicious file which can be used to perform Remote Code Execution. Users are recommended to upgrade to versions Struts 2.5.33 or Struts 6.3.0.2 or greater to fix this issue.,Apache Software Foundation,Apache Struts,"2.0.0, 6.0.0"
CERTFR-2024-ALE-001,[MàJ] Multiples vulnérabilités dans Ivanti Connect Secure et Policy Secure Gateways (11 janvier 2024),alerte,2024-01-11,https://www.cert.ssi.gouv.fr/alerte/CERTFR-2024-ALE-001/,CVE-2023-46805,8.2,HIGH,Non disponible,0.943670000,"An authentication bypass vulnerability in the web component of Ivanti ICS 9.x, 22.x and Ivanti Policy Secure allows a remote attacker to access restricted resources by bypassing control checks.",Ivanti,ICS,"9.1R18, 22.6R2"
CERTFR-2024-ALE-001,[MàJ] Multiples vulnérabilités dans Ivanti Connect Secure et Policy Secure Gateways (11 janvier 2024),alerte,2024-01-11,https://www.cert.ssi.gouv.fr/alerte/CERTFR-2024-ALE-001/,CVE-2023-46805,8.2,HIGH,Non disponible,0.943670000,"An authentication bypass vulnerability in the web component of Ivanti ICS 9.x, 22.x and Ivanti Policy Secure allows a remote attacker to access restricted resources by bypassing control checks.",Ivanti,IPS,"9.1R18, 22.6R1"
CERTFR-2024-ALE-001,[MàJ] Multiples vulnérabilités dans Ivanti Connect Secure et Policy Secure Gateways (11 janvier 2024),alerte,2024-01-11,https://www.cert.ssi.gouv.fr/alerte/CERTFR-2024-ALE-001/,CVE-2024-21887,9.1,CRITICAL,Non disponible,0.944120000,"A command injection vulnerability in web components of Ivanti Connect Secure (9.x, 22.x) and Ivanti Policy Secure (9.x, 22.x)  allows an authenticated administrator to send specially crafted requests and execute arbitrary commands on the appliance.",Ivanti,ICS,"9.1R18, 22.6R2"
CERTFR-2024-ALE-001,[MàJ] Multiples vulnérabilités dans Ivanti Connect Secure et Policy Secure Gateways (11 janvier 2024),alerte,2024-01-11,https://www.cert.ssi.gouv.fr/alerte/CERTFR-2024-ALE-001/,CVE-2024-21887,9.1,CRITICAL,Non disponible,0.944120000,"A command injection vulnerability in web components of Ivanti Connect Secure (9.x, 22.x) and Ivanti Policy Secure (9.x, 22.x)  allows an authenticated administrator to send specially crafted requests and execute arbitrary commands on the appliance.",Ivanti,IPS,"9.1R18, 22.6R1"
CERTFR-2024-ALE-001,[MàJ] Multiples vulnérabilités dans Ivanti Connect Secure et Policy Secure Gateways (11 janvier 2024),alerte,2024-01-11,https://www.cert.ssi.gouv.fr/alerte/CERTFR-2024-ALE-001/,CVE-2024-21888,8.8,HIGH,Non disponible,0.612550000,"A privilege escalation vulnerability in web component of Ivanti Connect Secure (9.x, 22.x) and Ivanti Policy Secure (9.x, 22.x) allows a user to elevate privileges to that of an administrator. ",Ivanti,ICS,"9.1R18, 22.6R2"
CERTFR-2024-ALE-001,[MàJ] Multiples vulnérabilités dans Ivanti Connect Secure et Policy Secure Gateways (11 janvier 2024),alerte,2024-01-11,https://www.cert.ssi.gouv.fr/alerte/CERTFR-2024-ALE-001/,CVE-2024-21888,8.8,HIGH,Non disponible,0.612550000,"A privilege escalation vulnerability in web component of Ivanti Connect Secure (9.x, 22.x) and Ivanti Policy Secure (9.x, 22.x) allows a user to elevate privileges to that of an administrator. ",Ivanti,IPS,"9.1R18, 22.6R1"
